,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,equip,first_pick,mvp,ban
4,5,c2050,0,18156.71,0,18156,"['set_cri_dmg', 'set_torrent']",0,0,0
5,1,c1159,0,0.0,0,0,[],0,0,1
6,2,c2016,11990,2719.06,722,25634,"['set_vampire', 'set_cri']",0,0,0
7,3,c2008,0,61786.1,4162,91456,"['set_immune', 'set_shield']",0,0,0
8,4,c2090,14066,16003.07,0,126997,"['set_speed', 'set_immune']",0,1,0
9,5,c2111,5172,10916.46,0,67103,"['set_speed', 'set_acc']",0,0,0
0,1,c1159,1300,57370.04,0,58670,"['set_speed', 'set_max_hp']",0,0,0
1,2,c2002,10983,103310.4,12476,219865,"['set_speed', 'set_immune']",0,1,0
2,3,c2009,36795,67528.37,0,185006,"['set_cri_dmg', 'set_penetrate']",0,0,0
3,4,c2022,0,0.0,20556,29865,"['set_speed', 'set_res']",0,0,0
4,5,c2109,0,0.0,0,0,[],0,0,1
5,1,c6037,0,17467.11,9879,138024,['set_speed'],1,0,0
6,2,c2090,23317,56966.85,0,224164,"['set_speed', 'set_immune']",0,1,0
7,3,c2132,944,16024.42,0,44637,"['set_speed', 'set_acc']",0,0,0
8,4,c2038,34939,24924.31,0,113357,"['set_penetrate', 'set_speed']",0,0,0
9,5,c2072,0,0.0,0,0,[],0,0,1
0,1,c6037,823,18562.74,0,70811,"['set_speed', 'set_immune']",0,0,0
1,2,c2101,13432,14293.38,0,56294,"['set_speed', 'set_max_hp']",0,0,0
2,3,c2095,0,75830.51,0,75830,"['set_speed', 'set_def']",0,0,0
3,4,c2089,1353,18553.44,0,122757,['set_speed'],0,1,0
4,5,c1014,0,0.0,0,0,[],0,0,1
5,1,c1159,0,0.0,0,0,[],1,0,1
6,2,c1150,451,4454.34,0,21847,"['set_speed', 'set_cri']",0,0,0
7,3,c1147,0,25125.08,0,25125,"['set_speed', 'set_acc']",0,0,0
8,4,c2020,0,4168.4,0,4168,"['set_speed', 'set_torrent']",0,0,0
9,5,c2099,26102,10293.32,0,50514,"['set_cri', 'set_speed']",0,1,0
0,1,c1126,1663,0.0,0,2577,"['set_speed', 'set_acc']",1,1,0
1,2,c4144,0,0.0,0,0,"['set_cri_dmg', 'set_penetrate']",0,0,0
2,3,c4004,0,0.0,0,582,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c2004,0,0.0,0,0,[],0,0,1
4,5,c1014,0,0.0,0,0,"['set_speed', 'set_cri']",0,0,0
5,1,c1118,0,0.0,0,0,['set_speed'],0,0,0
6,2,c1130,0,0.0,0,243,"['set_speed', 'set_penetrate']",0,0,0
7,3,c2091,0,0.0,0,243,"['set_att', 'set_cri']",0,0,0
8,4,c1125,0,4879.69,0,4879,"['set_speed', 'set_acc']",0,1,0
9,5,c1007,0,0.0,0,0,[],0,0,1
0,1,c2016,0,48319.81,0,48319,"['set_def', 'set_cri_dmg']",0,0,0
1,2,c2008,2,98183.48,4080,133474,"['set_immune', 'set_shield']",0,0,0
2,3,c6037,0,0.0,0,0,[],0,0,1
3,4,c2109,33105,68733.55,6081,126645,"['set_counter', 'set_max_hp']",0,0,0
4,5,c1118,34726,18853.59,0,465532,['set_speed'],0,1,0
5,1,c2089,596,70955.67,10369,162790,"['set_acc', 'set_speed']",1,0,0
6,2,c2090,19013,61612.17,0,219258,"['set_acc', 'set_speed']",0,1,0
7,3,c1128,27694,37722.16,8192,166030,"['set_immune', 'set_speed']",0,0,0
8,4,c1148,15746,36917.75,0,104651,"['set_acc', 'set_speed']",0,0,0
9,5,c2071,0,0.0,0,0,[],0,0,1
0,1,c2089,881,4347.33,0,57411,['set_speed'],1,0,0
1,2,c2109,39472,0.0,0,77159,"['set_counter', 'set_max_hp']",0,1,0
2,3,c4004,0,0.0,11178,34370,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c5089,0,0.0,0,0,[],0,0,1
4,5,c1102,736,0.0,1366,25295,"['set_immune', 'set_shield']",0,0,0
5,1,c1126,0,26148.79,0,26148,['set_speed'],0,0,0
6,2,c1159,0,80834.08,0,80834,['set_speed'],0,0,0
7,3,c2070,0,5618.43,36184,105217,"['set_speed', 'set_max_hp']",0,1,0
8,4,c2071,1139,8614.0,0,9752,"['set_cri_dmg', 'set_def']",0,0,0
9,5,c1151,0,0.0,0,0,[],0,0,1
0,1,c1126,0,47398.37,0,47398,"['set_speed', 'set_acc']",1,0,0
1,2,c2070,6316,45059.7,22537,122717,"['set_speed', 'set_max_hp']",0,0,0
2,3,c2132,1304,46119.07,4696,155151,"['set_immune', 'set_speed']",0,0,0
3,4,c2015,0,0.0,0,0,[],0,0,1
4,5,c2002,16646,68729.26,12328,241405,"['set_speed', 'set_immune']",0,1,0
5,1,c2046,675,10380.89,0,67105,['set_speed'],0,0,0
6,2,c1014,8461,16147.0,0,37063,"['set_speed', 'set_penetrate']",0,0,0
7,3,c1150,0,6291.58,0,31202,"['set_speed', 'set_cri']",0,0,0
8,4,c1007,44361,17478.77,0,88826,"['set_speed', 'set_torrent']",0,1,0
9,5,c2080,0,0.0,0,0,[],0,0,1
0,1,c1159,1071,15372.87,0,43761,"['set_speed', 'set_max_hp']",1,0,0
1,2,c4004,1278,18587.72,5167,93325,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
2,3,c2089,0,0.0,0,0,[],0,0,1
3,4,c2016,44218,7049.35,0,128666,"['set_def', 'set_cri_dmg']",0,1,0
4,5,c4144,17107,3970.5,0,34736,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c1126,0,32945.57,0,190706,"['set_speed', 'set_acc']",0,1,0
6,2,c2101,10383,62134.06,0,130639,"['set_speed', 'set_cri']",0,0,0
7,3,c2090,0,0.0,0,0,[],0,0,1
8,4,c2079,0,64820.18,0,81426,"['set_cri', 'set_cri_dmg']",0,0,0
9,5,c1148,0,37297.12,0,62206,"['set_res', 'set_counter']",0,0,0
0,1,c1159,0,32428.98,0,57334,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2089,0,0.0,0,0,[],0,0,1
2,3,c2016,44939,0.0,0,157013,"['set_def', 'set_cri_dmg']",0,0,0
3,4,c4004,0,122225.08,29872,239266,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
4,5,c2109,3813,15775.08,0,56946,"['set_counter', 'set_max_hp']",0,0,0
5,1,c5089,14908,18232.14,0,162519,"['set_speed', 'set_torrent']",0,0,0
6,2,c1121,12339,31707.57,17487,310340,"['set_speed', 'set_immune']",0,1,0
7,3,c1118,0,0.0,0,0,[],0,0,1
8,4,c1089,4154,32174.81,6080,82217,"['set_speed', 'set_immune']",0,0,0
9,5,c2071,16664,45298.71,0,71914,"['set_immune', 'set_cri_dmg']",0,0,0
0,1,c1159,2768,13412.03,0,16180,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2089,425,68457.96,19138,285558,['set_speed'],0,1,0
2,3,c4004,0,153572.09,11963,244550,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c2016,0,0.0,0,0,[],0,0,1
4,5,c4144,36323,17284.91,5882,230688,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c5089,35981,20289.54,2700,147196,"['set_speed', 'set_torrent']",0,0,0
6,2,c1121,17121,25818.54,0,176216,"['set_speed', 'set_immune']",0,1,0
7,3,c1118,0,0.0,0,0,[],0,0,1
8,4,c1089,7641,16685.04,2568,83208,"['set_speed', 'set_immune']",0,0,0
9,5,c2079,5585,53324.93,0,64541,"['set_cri', 'set_speed']",0,0,0
0,1,c1159,2283,25404.83,0,49087,"['set_speed', 'set_max_hp']",1,0,0
